"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AADAC",281.149950935192,-6.78436821382269,1.18824979015071,-4.8679732677159,1.1274857692153e-06,0.000134372976398687
"ACACB",20934.4242554714,-5.18996150712534,0.955604406827706,-4.38461928093723,1.16188804254755e-05,0.000953051485692
"ADH1A",1129.85774853476,-8.59998323771575,1.26915279061284,-5.9882334845168,2.1213239223673e-09,6.43133310568934e-07
"ADH1B",121455.243509557,-7.89878996368326,1.44011779593402,-4.79043449304014,1.66420549338962e-06,0.000190457848551431
"ADH1C",639.461889115022,-5.74549508354042,0.954157451826377,-4.97349266041674,6.57572646225446e-07,8.5439946612195e-05
"ADRA1A",134.885667454895,-5.9925979386291,0.963551750097704,-5.18145282609144,2.20164274443034e-07,3.5697933019091e-05
"ADRB2",745.534635806452,-4.34414011933801,0.799041967410497,-4.1851870811937,2.84931335592779e-05,0.0020179911517946
"ABCD2",1515.18307558519,-6.45113849071109,0.988061674415781,-5.51700225993912,3.44831001787947e-08,7.54306904037659e-06
"ANGPT1",1271.08965962945,-3.73879005255585,0.630743600553431,-4.34216066584387,1.41088294441483e-05,0.00111841597075379
"ANK2",3490.9282083904,-3.12994660454617,0.548211898406248,-3.88526153981391,0.000102219783876794,0.00577274537638846
"AOX1",2219.04674833068,-4.20812537498984,0.585046165666246,-5.48354226257761,4.16892623388386e-08,8.67990533105385e-06
"APLP1",461.21281645092,4.01292489122301,0.593480686191849,5.07670251336377,3.84041442529829e-07,5.62425437996438e-05
"APOB",786.311864964263,-6.937966795921,1.03607113043167,-5.73123468216609,9.97022073443501e-09,2.53375565458487e-06
"AQP7",5638.39472753209,-8.18929863420616,1.06026844182259,-6.78064002532024,1.19644650936541e-11,9.57658714670006e-09
"ASPA",331.311076963058,-5.44378088702934,0.813481485830408,-5.46266997397376,4.69026080309956e-08,9.53557611039571e-06
"ATP1A2",5050.25301489267,-8.28626419842982,0.789972613702456,-9.22343898009382,2.87721091545117e-20,2.48605409149559e-16
"KIF1A",486.85875495772,5.55411782845066,1.1824907175838,3.85129266617513,0.000117495981330803,0.00640519890655394
"BMP3",206.472552960009,-5.63390271763678,1.08603485134243,-4.26680848400849,1.98289242140967e-05,0.00151621079355666
